Event,Date,Weight Class,Fighter 1,Fighter 2,Winner,Method,Round,Time,Fight URL,Event URL,method,Fighter1_Elo_Start,Fighter2_Elo_Start,Fighter1_Elo_End,Fighter2_Elo_End
UFC 228: Woodley vs. Till,2018-09-15,Middleweight,Darren Stewart,Charles Byrd,Darren Stewart,KO/TKOElbow,2,2:17,http://ufcstats.com/fight-details/7658965c2a700b39,http://ufcstats.com/event-details/d5ae8074631762fc,KO,969.9323617063454,1021.0,998.3078144121655,992.6245472941799
UFC 228: Woodley vs. Till,2018-09-15,Welterweight,Diego Sanchez,Craig White,Diego Sanchez,U-DEC,3,5:00,http://ufcstats.com/fight-details/294a9e9780afa789,http://ufcstats.com/event-details/d5ae8074631762fc,DEC,1034.817873243819,989.1896476441939,1049.678717836735,974.3288030512779
UFC 228: Woodley vs. Till,2018-09-15,Lightweight,Jim Miller,Alex White,Jim Miller,SUBRear Naked Choke,1,1:29,http://ufcstats.com/fight-details/e40a5bd62ce710ac,http://ufcstats.com/event-details/d5ae8074631762fc,SUB,1032.3201835909608,981.6154844368244,1047.133659702197,966.8020083255882
UFC 228: Woodley vs. Till,2018-09-15,Women's Bantamweight,Irene Aldana,Lucie Pudilova,Irene Aldana,S-DEC,3,5:00,http://ufcstats.com/fight-details/a65909d4083c2088,http://ufcstats.com/event-details/d5ae8074631762fc,DEC,981.204194579004,1021.9477081315644,1004.9038780397417,998.2480246708267
UFC 228: Woodley vs. Till,2018-09-15,Bantamweight,Aljamain Sterling,Cody Stamann,Aljamain Sterling,SUBSuloev Stretch,2,3:42,http://ufcstats.com/fight-details/e65ffb177a2c7669,http://ufcstats.com/event-details/d5ae8074631762fc,SUB,1079.436524124643,1064.8934351836215,1100.9935964443575,1043.336362863907
UFC Fight Night: Hunt vs. Oleinik,2018-09-22,Heavyweight,Aleksei Oleinik,Mark Hunt,Aleksei Oleinik,SUBRear Naked Choke,1,4:26,http://ufcstats.com/fight-details/eebb4dde70a67369,http://ufcstats.com/event-details/8d49545dadf9b919,SUB,1054.5781695763253,1068.0034926805085,1076.828461664636,1045.7532005921978
UFC Fight Night: Hunt vs. Oleinik,2018-09-22,Light Heavyweight,Jan Blachowicz,Nikita Krylov,Jan Blachowicz,SUBArm Triangle,2,2:41,http://ufcstats.com/fight-details/880f2bb0a639a5a0,http://ufcstats.com/event-details/8d49545dadf9b919,SUB,1046.9124376715363,1064.9437435789307,1071.7593633381184,1040.0968179123486
UFC Fight Night: Hunt vs. Oleinik,2018-09-22,Heavyweight,Shamil Abdurakhimov,Andrei Arlovski,Shamil Abdurakhimov,U-DEC,3,5:00,http://ufcstats.com/fight-details/a7e8416f0d57c8e0,http://ufcstats.com/event-details/8d49545dadf9b919,DEC,1022.9378252814458,1056.2792328990674,1045.9471771342626,1033.2698810462507
UFC Fight Night: Hunt vs. Oleinik,2018-09-22,Welterweight,Aleksei Kunchenko,Thiago Alves,Aleksei Kunchenko,U-DEC,3,5:00,http://ufcstats.com/fight-details/dd0a3aedba5cee87,http://ufcstats.com/event-details/8d49545dadf9b919,DEC,1000.0,1061.0767582615927,1025.6312171712543,1035.4455410903383
UFC Fight Night: Hunt vs. Oleinik,2018-09-22,Middleweight,Khalid Murtazaliev,CB Dollaway,Khalid Murtazaliev,KO/TKOPunches,2,5:00,http://ufcstats.com/fight-details/d40f865aa6be9cd0,http://ufcstats.com/event-details/8d49545dadf9b919,KO,1000.0,1051.948371450235,1028.4717580727859,1023.4766133774492
UFC Fight Night: Hunt vs. Oleinik,2018-09-22,Bantamweight,Petr Yan,Jin Soo Son,Petr Yan,U-DEC,3,5:00,http://ufcstats.com/fight-details/c76fd2ddcbc4713d,http://ufcstats.com/event-details/8d49545dadf9b919,DEC,1020.8211819452226,1000.0,1039.0368042019418,981.7843777432809
UFC Fight Night: Hunt vs. Oleinik,2018-09-22,Lightweight,Rustam Khabilov,Kajan Johnson,Rustam Khabilov,S-DEC,3,5:00,http://ufcstats.com/fight-details/ba33d0868b25483b,http://ufcstats.com/event-details/8d49545dadf9b919,DEC,1114.298485328879,1041.3311024798627,1128.4228979768222,1027.2066898319194
UFC Fight Night: Hunt vs. Oleinik,2018-09-22,Lightweight,Mairbek Taisumov,Desmond Green,Mairbek Taisumov,U-DEC,3,5:00,http://ufcstats.com/fight-details/f56c6646b54c0662,http://ufcstats.com/event-details/8d49545dadf9b919,DEC,1095.2447152122545,1020.5587789812183,1109.244247614314,1006.559246579159
UFC Fight Night: Hunt vs. Oleinik,2018-09-22,Light Heavyweight,Magomed Ankalaev,Marcin Prachnio,Magomed Ankalaev,KO/TKOKick,1,3:09,http://ufcstats.com/fight-details/1687e2cd061b7aec,http://ufcstats.com/event-details/8d49545dadf9b919,KO,975.248102987608,984.0820352815505,997.0672787105349,962.2628595586236
UFC Fight Night: Hunt vs. Oleinik,2018-09-22,Middleweight,Jordan Johnson,Adam Yandiev,Jordan Johnson,SUBArm Triangle,2,0:42,http://ufcstats.com/fight-details/ed72edc2ce0f3c5f,http://ufcstats.com/event-details/8d49545dadf9b919,SUB,1059.6703823739188,1000.0,1077.0501245523294,982.6202578215892
UFC Fight Night: Hunt vs. Oleinik,2018-09-22,Welterweight,Ramazan Emeev,Stefan Sekulic,Ramazan Emeev,U-DEC,3,5:00,http://ufcstats.com/fight-details/67f559403a6ec7cb,http://ufcstats.com/event-details/8d49545dadf9b919,DEC,1051.4070166219876,1000.0,1067.1535246191074,984.2534920028802
UFC Fight Night: Hunt vs. Oleinik,2018-09-22,Bantamweight,Merab Dvalishvili,Terrion Ware,Merab Dvalishvili,U-DEC,3,5:00,http://ufcstats.com/fight-details/6455d9c54d99b851,http://ufcstats.com/event-details/8d49545dadf9b919,DEC,958.4162132490825,945.1674326193213,977.2716073178628,926.3120385505409
UFC Fight Night: Marreta vs. Anders,2018-10-06,Light Heavyweight,Thiago Santos,Eryk Anders,Thiago Santos,KO/TKO,3,5:00,http://ufcstats.com/fight-details/7cdda45e7d52bf40,http://ufcstats.com/event-details/852454c572675334,KO,1090.0772431349626,1044.3281232053885,1108.6943591123838,1025.7110072279672
UFC Fight Night: Marreta vs. Anders,2018-10-06,Welterweight,Alex Oliveira,Carlo Pedersoli Jr.,Alex Oliveira,KO/TKOPunch,1,0:39,http://ufcstats.com/fight-details/a409a5381f082e8f,http://ufcstats.com/event-details/852454c572675334,KO,1110.424172403582,1018.888949661897,1123.8752614795021,1005.4378605859769
UFC Fight Night: Marreta vs. Anders,2018-10-06,Light Heavyweight,Rogerio Nogueira,Sam Alvey,Rogerio Nogueira,KO/TKOPunch,2,1:00,http://ufcstats.com/fight-details/1669773acd404217,http://ufcstats.com/event-details/852454c572675334,KO,1037.050903919665,1089.953148718615,1065.6270827537614,1061.3769698845185
UFC Fight Night: Marreta vs. Anders,2018-10-06,Bantamweight,Andre Ewell,Renan Barao,Andre Ewell,S-DEC,3,5:00,http://ufcstats.com/fight-details/f4187c30c311eb93,http://ufcstats.com/event-details/852454c572675334,DEC,1000.0,1038.8999019179712,1023.52706235558,1015.3728395623912
UFC Fight Night: Marreta vs. Anders,2018-10-06,Lightweight,Charles Oliveira,Christos Giagos,Charles Oliveira,SUBRear Naked Choke,2,3:22,http://ufcstats.com/fight-details/ba766bd03090dab9,http://ufcstats.com/event-details/852454c572675334,SUB,1070.0044144464596,984.9892349603174,1085.2568436648287,969.7368057419482
UFC Fight Night: Marreta vs. Anders,2018-10-06,Lightweight,Francisco Trinaldo,Evan Dunham,Francisco Trinaldo,KO/TKOKnee,2,4:10,http://ufcstats.com/fight-details/3d9398386c84109b,http://ufcstats.com/event-details/852454c572675334,KO,1107.6788586976106,1074.4795399583697,1127.4514895593118,1054.7069090966686
UFC Fight Night: Marreta vs. Anders,2018-10-06,Women's Strawweight,Livinha Souza,Alex Chambers,Livinha Souza,SUBGuillotine Choke,1,1:21,http://ufcstats.com/fight-details/37ff18106c6e38fc,http://ufcstats.com/event-details/852454c572675334,SUB,1000.0,964.2499533870978,1017.8361002008792,946.4138531862186
UFC Fight Night: Marreta vs. Anders,2018-10-06,Heavyweight,Augusto Sakai,Chase Sherman,Augusto Sakai,KO/TKOPunches,3,4:03,http://ufcstats.com/fight-details/d7c7b312279104d2,http://ufcstats.com/event-details/852454c572675334,KO,1000.0,964.1645769279394,1019.5268412409829,944.6377356869565
UFC Fight Night: Marreta vs. Anders,2018-10-06,Welterweight,Sergio Moraes,Ben Saunders,Sergio Moraes,SUBArm Triangle,2,4:42,http://ufcstats.com/fight-details/b509c337d181c567,http://ufcstats.com/event-details/852454c572675334,SUB,1094.5622994028388,1037.6418323270445,1112.1826761823654,1020.0214555475179
UFC Fight Night: Marreta vs. Anders,2018-10-06,Women's Flyweight,Mayra Bueno Silva,Gillian Robertson,Mayra Bueno Silva,SUBArmbar,1,4:55,http://ufcstats.com/fight-details/0c618cd41b88c558,http://ufcstats.com/event-details/852454c572675334,SUB,1000.0,1041.9307423211462,1025.0016341821279,1016.9291081390184
UFC Fight Night: Marreta vs. Anders,2018-10-06,Middleweight,Thales Leites,Hector Lombard,Thales Leites,U-DEC,3,5:00,http://ufcstats.com/fight-details/c5479f20e4db357d,http://ufcstats.com/event-details/852454c572675334,DEC,1048.8357426728219,968.0367425803438,1062.3964501522382,954.4760351009274
UFC Fight Night: Marreta vs. Anders,2018-10-06,Welterweight,Elizeu Zaleski dos Santos,Luigi Vendramini,Elizeu Zaleski dos Santos,KO/TKOFlying Knee,2,1:20,http://ufcstats.com/fight-details/1c6d3ef6beb9966e,http://ufcstats.com/event-details/852454c572675334,KO,1085.0164657216892,1000.0,1100.268791198549,984.7476745231401
UFC Fight Night: Marreta vs. Anders,2018-10-06,Light Heavyweight,Ryan Spann,Luis Henrique,Ryan Spann,U-DEC,3,5:00,http://ufcstats.com/fight-details/30eaf1650bc359b3,http://ufcstats.com/event-details/852454c572675334,DEC,1000.0,979.896828029302,1018.2758201145791,961.6210079147229
UFC 229: Khabib vs. McGregor,2018-10-27,Heavyweight,Derrick Lewis,Alexander Volkov,Derrick Lewis,KO/TKOPunches,3,4:49,http://ufcstats.com/fight-details/397ace87deeb8697,http://ufcstats.com/event-details/1ef0eae31904e534,KO,1133.5053117385683,1102.713637617484,1153.5038335100926,1082.7151158459596
UFC 229: Khabib vs. McGregor,2018-10-27,Lightweight,Khabib Nurmagomedov,Conor McGregor,Khabib Nurmagomedov,SUBRear Naked Choke,4,3:03,http://ufcstats.com/fight-details/3eea92e7f26fb05b,http://ufcstats.com/event-details/1ef0eae31904e534,SUB,1186.9870497236868,1166.5191169096795,1207.969059985739,1145.5371066476273
UFC 229: Khabib vs. McGregor,2018-10-27,Lightweight,Tony Ferguson,Anthony Pettis,Tony Ferguson,KO/TKO,2,5:00,http://ufcstats.com/fight-details/8f6dda53ea3b09c7,http://ufcstats.com/event-details/1ef0eae31904e534,KO,1209.915793269799,1094.3080692884832,1222.824894153534,1081.3989684047483
UFC 229: Khabib vs. McGregor,2018-10-27,Light Heavyweight,Dominick Reyes,Ovince Saint Preux,Dominick Reyes,U-DEC,3,5:00,http://ufcstats.com/fight-details/3c5442bb62ca1505,http://ufcstats.com/event-details/1ef0eae31904e534,DEC,1057.483631116812,1089.719665770656,1080.3905327168584,1066.8127641706096
UFC 229: Khabib vs. McGregor,2018-10-27,Women's Strawweight,Michelle Waterson-Gomez,Felice Herrig,Michelle Waterson-Gomez,U-DEC,3,5:00,http://ufcstats.com/fight-details/adee1fc200ed1a12,http://ufcstats.com/event-details/1ef0eae31904e534,DEC,1023.617954103711,1053.4409049299923,1046.3017953402248,1030.7570636934784
UFC 229: Khabib vs. McGregor,2018-10-27,Welterweight,Anthony Rocco Martin,Ryan LaFlare,Anthony Rocco Martin,KO/TKOKick,3,1:00,http://ufcstats.com/fight-details/68ba4aca75b02496,http://ufcstats.com/event-details/1ef0eae31904e534,KO,1035.3834539596714,1092.9868307699114,1064.4760171225223,1063.8942676070606
UFC 229: Khabib vs. McGregor,2018-10-27,Welterweight,Vicente Luque,Jalin Turner,Vicente Luque,KO/TKOPunches,1,3:52,http://ufcstats.com/fight-details/48ea8a30f7b88cfc,http://ufcstats.com/event-details/1ef0eae31904e534,KO,1085.6912471238084,1000.0,1099.5676460662357,986.1236010575727
UFC 229: Khabib vs. McGregor,2018-10-27,Women's Bantamweight,Aspen Ladd,Tonya Evinger,Aspen Ladd,KO/TKOPunches,1,3:26,http://ufcstats.com/fight-details/e2e524bb5392a3ea,http://ufcstats.com/event-details/1ef0eae31904e534,KO,1023.0928672716858,981.0192074799742,1040.3965665478065,963.7155082038536
UFC 229: Khabib vs. McGregor,2018-10-27,Lightweight,Scott Holtzman,Alan Patrick,Scott Holtzman,KO/TKOElbows,3,3:42,http://ufcstats.com/fight-details/c835ccffa472970e,http://ufcstats.com/event-details/1ef0eae31904e534,KO,1033.0330713108206,1076.0781085197077,1060.536239450712,1048.5749403798163
UFC 229: Khabib vs. McGregor,2018-10-27,Women's Bantamweight,Yana Santos,Lina Lansberg,Yana Santos,U-DEC,3,5:00,http://ufcstats.com/fight-details/21be9181725ab599,http://ufcstats.com/event-details/1ef0eae31904e534,DEC,985.5674859393373,1000.1123368665191,1006.8588678786441,978.8209549272123
UFC 229: Khabib vs. McGregor,2018-10-27,Lightweight,Nik Lentz,Gray Maynard,Nik Lentz,KO/TKOKick,2,1:19,http://ufcstats.com/fight-details/9bc042a700d9a531,http://ufcstats.com/event-details/1ef0eae31904e534,KO,1062.9973629015735,1047.7913228865011,1084.489712858036,1026.2989729300386
UFC 229: Khabib vs. McGregor,2018-10-27,Flyweight,Jussier Formiga,Sergio Pettis,Jussier Formiga,U-DEC,3,5:00,http://ufcstats.com/fight-details/8f5482992dad74d2,http://ufcstats.com/event-details/1ef0eae31904e534,DEC,1073.8397229894813,1092.4445704075304,1095.4976866377308,1070.7866067592809
UFC Fight Night: Oezdemir vs. Smith,2018-11-03,Light Heavyweight,Anthony Smith,Volkan Oezdemir,Anthony Smith,SUBRear Naked Choke,3,4:26,http://ufcstats.com/fight-details/96b59d89ecac66d0,http://ufcstats.com/event-details/33a331684283900f,SUB,1081.680977916521,1062.4595125882788,1102.7833361056844,1041.3571543991154
UFC Fight Night: Oezdemir vs. Smith,2018-11-03,Featherweight,Michael Johnson,Artem Lobov,Michael Johnson,U-DEC,3,5:00,http://ufcstats.com/fight-details/e202f273220aa533,http://ufcstats.com/event-details/33a331684283900f,DEC,1048.3747457895188,977.6205384359749,1062.6609540728587,963.3343301526352
UFC Fight Night: Oezdemir vs. Smith,2018-11-03,Light Heavyweight,Misha Cirkunov,Patrick Cummins,Misha Cirkunov,SUBArm Triangle,1,2:40,http://ufcstats.com/fight-details/a9a770bac1261af9,http://ufcstats.com/event-details/33a331684283900f,SUB,1041.262450827008,1023.6569034884805,1060.6727341911528,1004.2466201243357
UFC Fight Night: Oezdemir vs. Smith,2018-11-03,Bantamweight,Andre Soukhamthath,Jonathan Martinez,Andre Soukhamthath,U-DEC,3,5:00,http://ufcstats.com/fight-details/e1eeb61d0669ce45,http://ufcstats.com/event-details/33a331684283900f,DEC,972.5873918524771,1000.0,995.0492515584766,977.5381402940005
UFC Fight Night: Oezdemir vs. Smith,2018-11-03,Light Heavyweight,Gian Villante,Ed Herman,Gian Villante,S-DEC,3,5:00,http://ufcstats.com/fight-details/53d6e37063f9c404,http://ufcstats.com/event-details/33a331684283900f,DEC,998.6367899034483,1022.2463760772838,1020.7501233473457,1000.1330426333864
UFC Fight Night: Oezdemir vs. Smith,2018-11-03,Welterweight,Court McGee,Alex Garcia,Court McGee,U-DEC,3,5:00,http://ufcstats.com/fight-details/8a08b8043f83d245,http://ufcstats.com/event-details/33a331684283900f,DEC,1004.1981806915982,1028.6386657777957,1026.387479903686,1006.4493665657079
UFC Fight Night: Oezdemir vs. Smith,2018-11-03,Welterweight,Sean Strickland,Nordine Taleb,Sean Strickland,KO/TKOPunch,2,3:10,http://ufcstats.com/fight-details/6fd7f6f1deaef4e8,http://ufcstats.com/event-details/33a331684283900f,KO,1057.4901484441423,1049.411089396806,1079.683169252333,1027.218068588615
UFC Fight Night: Oezdemir vs. Smith,2018-11-03,Lightweight,Nasrat Haqparast,Thibault Gouti,Nasrat Haqparast,U-DEC,3,5:00,http://ufcstats.com/fight-details/3d7ea6012fd8f786,http://ufcstats.com/event-details/33a331684283900f,DEC,998.3034060266103,953.9849769797038,1014.6051088679899,937.6832741383242
UFC Fight Night: Oezdemir vs. Smith,2018-11-03,Featherweight,Calvin Kattar,Chris Fishgold,Calvin Kattar,KO/TKOPunch,1,4:11,http://ufcstats.com/fight-details/bd0622b184ab4f28,http://ufcstats.com/event-details/33a331684283900f,KO,1028.778697840095,1000.0,1047.2115875422287,981.5671102978662
UFC Fight Night: Oezdemir vs. Smith,2018-11-03,Women's Bantamweight,Talita Bernardo,Sarah Moras,Talita Bernardo,U-DEC,3,5:00,http://ufcstats.com/fight-details/8dcfa933877e3a0b,http://ufcstats.com/event-details/33a331684283900f,DEC,957.1302348254876,999.0926344620314,980.9442878669956,975.2785814205233
UFC Fight Night: Oezdemir vs. Smith,2018-11-03,Lightweight,Don Madge,Te Edwards,Don Madge,KO/TKOKick,2,0:14,http://ufcstats.com/fight-details/9d204f44a9988b93,http://ufcstats.com/event-details/33a331684283900f,KO,1000.0,1000.0,1023.0,977.0
UFC Fight Night: Oezdemir vs. Smith,2018-11-03,Heavyweight,Arjan Bhullar,Marcelo Golm,Arjan Bhullar,U-DEC,3,5:00,http://ufcstats.com/fight-details/4f42acd810ed5173,http://ufcstats.com/event-details/33a331684283900f,DEC,996.5529071885109,997.2868902541388,1016.6172245969766,977.2225728456731
UFC Fight Night: Oezdemir vs. Smith,2018-11-03,Lightweight,Stevie Ray,Jessin Ayari,Stevie Ray,U-DEC,3,5:00,http://ufcstats.com/fight-details/53bb7c4a606d60c0,http://ufcstats.com/event-details/33a331684283900f,DEC,1030.0580449044817,1000.0671803353102,1047.513653861893,982.6115713778987
UFC 230: Cormier vs. Lewis,2018-11-10,Middleweight,Jacare Souza,Chris Weidman,Jacare Souza,KO/TKOPunches,3,2:46,http://ufcstats.com/fight-details/c037cdc1de53de8e,http://ufcstats.com/event-details/20821819c401ced8,KO,1115.256421492568,1151.3936875828865,1142.0160391684929,1124.6340699069617
UFC 230: Cormier vs. Lewis,2018-11-10,Middleweight,Jared Cannonier,David Branch,Jared Cannonier,KO/TKOPunches,2,0:39,http://ufcstats.com/fight-details/b4ec3e067604f90a,http://ufcstats.com/event-details/20821819c401ced8,KO,992.337492685377,1049.0300251067815,1021.3297827374071,1020.0377350547515
UFC 230: Cormier vs. Lewis,2018-11-10,Middleweight,Karl Roberson,Jack Marshman,Karl Roberson,U-DEC,3,5:00,http://ufcstats.com/fight-details/7aede55e4e47c698,http://ufcstats.com/event-details/20821819c401ced8,DEC,1002.1023206964129,1007.3251849022736,1022.5619914304032,986.8655141682833
UFC 230: Cormier vs. Lewis,2018-11-10,Middleweight,Israel Adesanya,Derek Brunson,Israel Adesanya,KO/TKOPunches,1,4:51,http://ufcstats.com/fight-details/e4e1d12441b90866,http://ufcstats.com/event-details/20821819c401ced8,KO,1068.8087849559815,1097.8635589637254,1092.552440596216,1074.119903323491
UFC 230: Cormier vs. Lewis,2018-11-10,Heavyweight,Daniel Cormier,Derrick Lewis,Daniel Cormier,SUBRear Naked Choke,2,2:14,http://ufcstats.com/fight-details/e9700d51ec2b940b,http://ufcstats.com/event-details/20821819c401ced8,SUB,1215.0937933087243,1153.5038335100926,1232.3066809538543,1136.2909458649626
UFC 230: Cormier vs. Lewis,2018-11-10,Women's Flyweight,Sijara Eubanks,Roxanne Modafferi,Sijara Eubanks,U-DEC,3,5:00,http://ufcstats.com/fight-details/752f19e9c201ea57,http://ufcstats.com/event-details/20821819c401ced8,DEC,1019.1439518937075,986.2810698696769,1036.364922279546,969.0600994838385
UFC 230: Cormier vs. Lewis,2018-11-10,Featherweight,Sheymon Moraes,Julio Arce,Sheymon Moraes,S-DEC,3,5:00,http://ufcstats.com/fight-details/41be95916aef568f,http://ufcstats.com/event-details/20821819c401ced8,DEC,1001.1130553460599,1039.1418449561183,1024.5587092504977,1015.6961910516806
UFC 230: Cormier vs. Lewis,2018-11-10,Welterweight,Lyman Good,Ben Saunders,Lyman Good,KO/TKOPunches,1,1:32,http://ufcstats.com/fight-details/b8b2cdf962cc65a0,http://ufcstats.com/event-details/20821819c401ced8,KO,1003.3954928653312,1020.0214555475179,1025.9484075827943,997.468540830055
UFC 230: Cormier vs. Lewis,2018-11-10,Featherweight,Shane Burgos,Kurt Holobaugh,Shane Burgos,SUBArmbar,1,2:11,http://ufcstats.com/fight-details/3729ff914eaede07,http://ufcstats.com/event-details/20821819c401ced8,SUB,1034.9801687104602,962.0594612320243,1049.8143729733415,947.2252569691431
UFC 230: Cormier vs. Lewis,2018-11-10,Heavyweight,Marcos Rogerio de Lima,Adam Wieczorek,Marcos Rogerio de Lima,U-DEC,3,5:00,http://ufcstats.com/fight-details/33116969380185a9,http://ufcstats.com/event-details/20821819c401ced8,DEC,1008.1395548493449,1039.1040094398288,1030.9288121630723,1016.3147521261014
UFC 230: Cormier vs. Lewis,2018-11-10,Featherweight,Jordan Rinaldi,Jason Knight,Jordan Rinaldi,U-DEC,3,5:00,http://ufcstats.com/fight-details/78bb2b441917848c,http://ufcstats.com/event-details/20821819c401ced8,DEC,991.3485333018982,1012.6635989622541,1013.2526230532534,990.759509210899
UFC Fight Night: Korean Zombie vs. Rodriguez,2018-11-17,Featherweight,Yair Rodriguez,Chan Sung Jung,Yair Rodriguez,KO/TKOElbow,5,4:59,http://ufcstats.com/fight-details/0ccd16201ac41ef8,http://ufcstats.com/event-details/42c96a9c4802e2e1,KO,1095.7854569387264,1077.5210563665048,1116.9804512477956,1056.3260620574356
UFC Fight Night: Korean Zombie vs. Rodriguez,2018-11-17,Welterweight,Donald Cerrone,Mike Perry,Donald Cerrone,SUBArmbar,1,4:46,http://ufcstats.com/fight-details/46cfd4aaa02ce202,http://ufcstats.com/event-details/42c96a9c4802e2e1,SUB,1126.4340562979862,1052.6528393624799,1139.6201739387786,1039.4667217216875
UFC Fight Night: Korean Zombie vs. Rodriguez,2018-11-17,Women's Bantamweight,Germaine de Randamie,Raquel Pennington,Germaine de Randamie,U-DEC,3,5:00,http://ufcstats.com/fight-details/0a667143584a2d96,http://ufcstats.com/event-details/42c96a9c4802e2e1,DEC,1057.9533495361384,1060.8617460120506,1078.2087486510038,1040.6063468971852
UFC Fight Night: Korean Zombie vs. Rodriguez,2018-11-17,Lightweight,Beneil Dariush,Thiago Moises,Beneil Dariush,U-DEC,3,5:00,http://ufcstats.com/fight-details/14cf0828d6e373ab,http://ufcstats.com/event-details/42c96a9c4802e2e1,DEC,1071.0082552338388,1000.0,1085.2758356429072,985.7324195909316
UFC Fight Night: Korean Zombie vs. Rodriguez,2018-11-17,Women's Strawweight,Maycee Barber,Hannah Cifers,Maycee Barber,KO/TKOPunches,2,2:01,http://ufcstats.com/fight-details/17f69a241aa952fd,http://ufcstats.com/event-details/42c96a9c4802e2e1,KO,1000.0,1000.0,1023.0,977.0
UFC Fight Night: Korean Zombie vs. Rodriguez,2018-11-17,Lightweight,Michael Trizano,Luis Pena,Michael Trizano,S-DEC,3,5:00,http://ufcstats.com/fight-details/2c84f2cb1bb23ab8,http://ufcstats.com/event-details/42c96a9c4802e2e1,DEC,1020.0,1021.0,1040.0876508150686,1000.9123491849314
UFC Fight Night: Korean Zombie vs. Rodriguez,2018-11-17,Women's Strawweight,Ashley Yoder,Amanda Cooper,Ashley Yoder,S-DEC,3,5:00,http://ufcstats.com/fight-details/bd5efa4b53dc1642,http://ufcstats.com/event-details/42c96a9c4802e2e1,DEC,943.2585333704326,979.8972619986955,966.5744904604799,956.5813049086482
UFC Fight Night: Korean Zombie vs. Rodriguez,2018-11-17,Lightweight,Davi Ramos,John Gunther,Davi Ramos,SUBRear Naked Choke,1,1:57,http://ufcstats.com/fight-details/933cf2674503c63d,http://ufcstats.com/event-details/42c96a9c4802e2e1,SUB,1036.4010003564028,1020.0,1055.9181511382358,1000.4828492181671
UFC Fight Night: Korean Zombie vs. Rodriguez,2018-11-17,Lightweight,Devonte Smith,Julian Erosa,Devonte Smith,KO/TKOPunches,1,0:46,http://ufcstats.com/fight-details/79fb77a0b0294aec,http://ufcstats.com/event-details/42c96a9c4802e2e1,KO,1000.0,994.9477982827843,1020.5378216728064,974.4099766099779
UFC Fight Night: Korean Zombie vs. Rodriguez,2018-11-17,Flyweight,Eric Shelton,Joseph Morales,Eric Shelton,S-DEC,3,5:00,http://ufcstats.com/fight-details/3210723fbb018fa7,http://ufcstats.com/event-details/42c96a9c4802e2e1,DEC,967.9355063837002,1000.428995416431,990.8662546984883,977.4982471016428
UFC Fight Night: Korean Zombie vs. Rodriguez,2018-11-17,Bantamweight,Mark De La Rosa,Joby Sanchez,Mark De La Rosa,S-DEC,3,5:00,http://ufcstats.com/fight-details/38abefbf24624a35,http://ufcstats.com/event-details/42c96a9c4802e2e1,DEC,999.7602925242477,954.7505169861688,1016.0073827191302,938.5034267912863
UFC Fight Night: Magny vs. Ponzinibbio,2018-11-24,Welterweight,Santiago Ponzinibbio,Neil Magny,Santiago Ponzinibbio,KO/TKOPunch,4,2:36,http://ufcstats.com/fight-details/7e695ad026b2ec66,http://ufcstats.com/event-details/aa3153a9941b4d44,KO,1124.011194318735,1141.5910149685128,1148.8111403638966,1116.7910689233513
UFC Fight Night: Magny vs. Ponzinibbio,2018-11-24,Featherweight,Ricardo Lamas,Darren Elkins,Ricardo Lamas,KO/TKOElbows,3,4:09,http://ufcstats.com/fight-details/f9ab603b763998f7,http://ufcstats.com/event-details/aa3153a9941b4d44,KO,1074.512088440396,1125.7447140884908,1102.905573998963,1097.3512285299237
UFC Fight Night: Magny vs. Ponzinibbio,2018-11-24,Light Heavyweight,Johnny Walker,Khalil Rountree Jr.,Johnny Walker,KO/TKOElbow,1,1:57,http://ufcstats.com/fight-details/51ce499611a5df68,http://ufcstats.com/event-details/aa3153a9941b4d44,KO,1000.0,1028.7370851006988,1023.7129216910877,1005.0241634096111
UFC Fight Night: Magny vs. Ponzinibbio,2018-11-24,Middleweight,Ian Heinisch,Cezar Ferreira,Ian Heinisch,U-DEC,3,5:00,http://ufcstats.com/fight-details/3bde8910fabf0dd3,http://ufcstats.com/event-details/aa3153a9941b4d44,DEC,1000.0,1079.8155867533133,1027.4504659235938,1052.3651208297194
UFC Fight Night: Magny vs. Ponzinibbio,2018-11-24,Bantamweight,Marlon Vera,Guido Cannetti,Marlon Vera,SUBRear Naked Choke,2,1:31,http://ufcstats.com/fight-details/b9a3b520e68f8142,http://ufcstats.com/event-details/aa3153a9941b4d44,SUB,1028.169137264449,1004.9869407862146,1048.890264837096,984.2658132135675
UFC Fight Night: Magny vs. Ponzinibbio,2018-11-24,Featherweight,Nad Narimani,Anderson Dos Santos,Nad Narimani,U-DEC,3,5:00,http://ufcstats.com/fight-details/c7bc8750e9503805,http://ufcstats.com/event-details/aa3153a9941b4d44,DEC,1020.0,1000.0,1038.2844781209799,981.71552187902
UFC Fight Night: Magny vs. Ponzinibbio,2018-11-24,Welterweight,Michel Prazeres,Bartosz Fabinski,Michel Prazeres,SUBGuillotine Choke,1,1:02,http://ufcstats.com/fight-details/410aca28fda60f76,http://ufcstats.com/event-details/aa3153a9941b4d44,SUB,1121.5784574821362,1057.3387495216637,1137.0856673018554,1041.8315397019444
