Fighter,Elo,Last_Fight,Weight Class,Is_Champion,Title_Defenses,Is_Former_Champion,Status,Record
Geoff Neal,1075.0541656656223,2025-08-16,Welterweight,False,0,False,,8-5-0
Chris Padilla,1074.6842250693483,2025-11-08,Lightweight,False,0,False,,4-0-0
William Gomis,1074.665360597008,2025-09-06,Featherweight,False,0,False,,5-1-0
Bo Nickal,1073.1366281175049,2025-11-15,Middleweight,False,0,False,,5-1-0
Edmen Shahbazyan,1072.7897412743641,2025-10-04,Middleweight,False,0,False,,9-5-0
Loopy Godinez,1072.053736442221,2025-08-16,Women's Strawweight,False,0,False,,9-5-0
Karine Silva,1071.6271533465795,2025-08-16,Women's Flyweight,False,0,False,,5-1-0
Jan Blachowicz,1071.5510987190423,2025-03-22,Light Heavyweight,False,0,True,Former Champion,12-8-1
Tracy Cortez,1070.8955519866015,2025-11-15,Women's Flyweight,False,0,False,,6-2-0
Shara Magomedov,1070.8464421745362,2025-07-26,Middleweight,False,0,False,,5-1-0
Asu Almabayev,1070.0207714705384,2025-07-26,Flyweight,False,0,False,,5-1-0
Bogdan Guskov,1069.8241097775297,2025-07-26,Light Heavyweight,False,0,False,,4-1-0
Ricky Simon,1068.2393967748237,2025-11-08,Bantamweight,False,0,False,,10-6-0
Quillan Salkilld,1067.2692243433055,2025-10-25,Lightweight,False,0,False,,3-0-0
Amanda Lemos,1066.7787717662447,2025-09-13,Women's Strawweight,False,0,False,,9-5-0
Daniel Santos,1066.7380166231005,2025-10-04,Catch Weight,False,0,False,,4-1-0
Josh Emmett,1066.09855649289,2025-10-04,Featherweight,False,0,False,,10-6-0
Henry Cejudo,1066.0492663703162,2025-02-22,Bantamweight,False,0,True,Former Champion,10-5-0
Ketlen Vieira,1065.3858920827358,2025-11-01,Women's Bantamweight,False,0,False,,9-5-0
Chase Hooper,1064.9596076531552,2025-08-16,Lightweight,False,0,False,,8-4-0
David Onama,1064.514821161389,2025-11-01,Featherweight,False,0,False,,6-3-0
Vitor Petrino,1063.6740574642379,2025-10-11,Heavyweight,False,0,False,,6-2-0
Rafa Garcia,1063.5580322185276,2025-09-13,Lightweight,False,0,False,,6-4-0
Michael Page,1063.309894003758,2025-08-16,Middleweight,False,0,False,,3-1-0
Iasmin Lucindo,1063.2461980634314,2025-08-09,Women's Strawweight,False,0,False,,5-2-0
Marcus McGhee,1063.233996027999,2025-07-26,Bantamweight,False,0,False,,4-1-0
Tagir Ulanbekov,1062.3021868533824,2025-06-21,Flyweight,False,0,False,,6-1-0
Paulo Costa,1062.1603237854486,2025-07-19,Middleweight,False,0,False,,7-4-0
Uros Medic,1062.028957202715,2025-11-08,Welterweight,False,0,False,,6-3-0
Sam Patterson,1061.97595233411,2025-09-06,Welterweight,False,0,False,,4-1-0
Allan Nascimento,1061.9301065510128,2025-11-01,Catch Weight,False,0,False,,4-1-0
Modestas Bukauskas,1061.6293988078605,2025-09-06,Light Heavyweight,False,0,False,,7-4-0
Ian Machado Garry,1060.8334393483635,2025-04-26,Welterweight,False,0,False,,9-1-0
Diego Ferreira,1059.5813496221247,2025-09-13,Lightweight,False,0,False,,10-7-0
Valter Walker,1058.2628740764906,2025-10-25,Heavyweight,False,0,False,,4-1-0
Brandon Royval,1057.7610928464387,2025-06-28,Flyweight,False,0,False,,7-4-0
Rafael Estevam,1057.4911213954058,2025-08-02,Flyweight,False,0,False,,3-0-0
Natalia Silva,1057.3573995105567,2025-05-10,Women's Flyweight,False,0,False,,7-0-0
Jeremiah Wells,1057.2585457232392,2025-11-01,Welterweight,False,0,False,,5-2-0
Tom Nolan,1055.5843964837863,2025-09-27,Lightweight,False,0,False,,4-1-0
Brunno Ferreira,1055.5839392722705,2025-07-19,Middleweight,False,0,False,,5-2-0
Michel Pereira,1055.1111318331536,2025-08-23,Middleweight,False,0,False,,9-5-0
Mike Davis,1054.8778060215907,2025-07-12,Lightweight,False,0,False,,5-2-0
Kayla Harrison,1054.4312015552632,2025-06-07,Women's Bantamweight,False,0,False,,3-0-0
Elizeu Zaleski dos Santos,1053.987310274497,2025-08-02,Welterweight,False,0,False,,11-6-1
Loma Lookboonmee,1053.980187583305,2025-09-27,Women's Strawweight,False,0,False,,7-3-0
Navajo Stirling,1053.471936273154,2025-09-27,Light Heavyweight,False,0,False,,3-0-0
Karol Rosa,1053.4616762681144,2025-08-02,Women's Bantamweight,False,0,False,,8-4-0
Rafael Fiziev,1053.1131131634472,2025-06-21,Lightweight,False,0,False,,7-4-0
Edson Barboza,1053.077500890691,2025-08-16,Lightweight,False,0,False,,18-13-0
Ateba Gautier,1052.9650441165663,2025-10-04,Middleweight,False,0,False,,3-0-0
Johnny Walker,1052.0620080846757,2025-08-23,Light Heavyweight,False,0,False,,8-6-1
Kyler Phillips,1052.040856789766,2025-07-19,Bantamweight,False,0,False,,6-3-0
Khalil Rountree Jr.,1051.945463593267,2025-10-04,Light Heavyweight,False,0,False,,10-7-1
Jack Hermansson,1051.7207186181975,2025-06-28,Middleweight,False,0,False,,11-7-0
Said Nurmagomedov,1050.964436655949,2025-07-26,Bantamweight,False,0,False,,7-4-0
Charles Johnson,1050.3193207112586,2025-08-23,Flyweight,False,0,False,,7-5-0
Joselyne Edwards,1050.26673281242,2025-08-09,Women's Bantamweight,False,0,False,,7-4-0
Kevin Holland,1048.35733127419,2025-10-18,Welterweight,False,0,False,,15-12-1
Nikita Krylov,1048.190200745205,2025-07-26,Light Heavyweight,False,0,False,,11-9-0
Esteban Ribovics,1048.1069794598911,2025-08-02,Lightweight,False,0,False,,4-2-0
Sean Strickland,1047.0434416242829,2025-02-08,Middleweight,False,0,True,Former Champion,16-7-0
Fatima Kline,1047.0054614783128,2025-11-15,Women's Strawweight,False,0,False,,3-1-0
Yana Santos,1045.6515117699098,2025-10-04,Women's Bantamweight,False,0,False,,7-5-0
Sam Hughes,1045.6423650127524,2025-09-06,Women's Strawweight,False,0,False,,6-5-0
Seokhyeon Ko,1045.184764247176,2025-11-01,Welterweight,False,0,False,,2-0-0
Tecia Pennington,1045.020502265106,2025-11-08,Women's Strawweight,False,0,False,,11-8-0
Jean Matsumoto,1044.875323155368,2025-08-09,Bantamweight,False,0,False,,3-1-0
Alexia Thainara,1044.8496494924996,2025-09-27,Women's Strawweight,False,0,False,,2-0-0
David Martinez,1044.6806473066663,2025-09-13,Bantamweight,False,0,False,,2-0-0
Mario Pinto,1043.6965130019566,2025-10-11,Heavyweight,False,0,False,,2-0-0
Nazim Sadykhov,1043.1525140008218,2025-06-21,Lightweight,False,0,False,,4-0-1
Andre Petroski,1043.130205579349,2025-09-27,Middleweight,False,0,False,,8-4-0
Ramiz Brahimaj,1042.9273445227452,2025-10-04,Welterweight,False,0,False,,5-3-0
Talita Alencar,1042.923710264728,2025-11-01,Women's Strawweight,False,0,False,,3-1-0
Baisangur Susurkaev,1042.3568142763454,2025-11-15,Middleweight,False,0,False,,2-0-0
Muhammad Naimov,1042.1254093159873,2025-06-21,Featherweight,False,0,False,,5-1-0
Dan Ige,1041.4590322367578,2025-07-19,Featherweight,False,0,False,,11-9-0
Alonzo Menifield,1041.4276039075085,2025-06-14,Light Heavyweight,False,0,False,,10-5-1
Charles Jourdain,1040.932181559511,2025-10-18,Bantamweight,False,0,False,,8-7-1
Jaqueline Amorim,1040.5895194996872,2025-10-25,Women's Strawweight,False,0,False,,4-2-0
Drew Dober,1040.2951830073368,2025-10-18,Lightweight,False,0,False,,14-11-1
Kevin Vallejos,1039.9942627068704,2025-08-02,Featherweight,False,0,False,,2-0-0
Mizuki,1039.7433573630988,2025-10-25,Women's Strawweight,False,0,False,,3-1-0
Ryan Spann,1039.429242594572,2025-07-19,Heavyweight,False,0,False,,9-6-0
Kaue Fernandes,1039.1895113571127,2025-09-06,Lightweight,False,0,False,,3-1-0
Oumar Sy,1039.1790800830652,2025-09-06,Light Heavyweight,False,0,False,,3-1-0
Abus Magomedov,1038.856878761502,2025-10-04,Middleweight,False,0,False,,4-3-0
Yadier del Valle,1038.5269832254685,2025-11-01,Featherweight,False,0,False,,2-0-0
Stephen Thompson,1038.5186102574999,2025-07-12,Welterweight,False,0,False,,12-9-1
Payton Talbott,1038.4326394061643,2025-06-28,Bantamweight,False,0,False,,4-1-0
Mauricio Ruffy,1038.2680377889603,2025-09-06,Lightweight,False,0,False,,3-1-0
Stipe Miocic,1037.9776068894307,2024-11-16,Heavyweight,False,0,True,Former Champion,14-5-0
Jared Gordon,1036.716198599188,2025-09-13,Lightweight,False,0,False,,9-7-1
